destination,name,area,subarea,boulder,grade,stars,FA,FA_year,style_icon_1,style_icon_2,style_icon_3,style_icon_4,description
Squamish,G String Divas,Grand Wall,Survivor,G String Divas,V5,3,Marc Bourdon,2002,,,,,Start right of the prow with a left arête pinch and a low right sidepull crimp. Paste your feet and make a wild| offbalance slap to a high sidepull.
Squamish,Clean Cut,Grand Wall,Survivor,Clean Cut,V2,3,Jack Fieldhouse,2001,sit-start,,,,Start seated on the left side of the face with a left arête pinch and a right sidepull. Fire for a big edge and up. A nice problem. The jump is fun!
Squamish,Pat's Problem,Grand Wall,Survivor,Clean Cut,V8,2,Pat Chung,2007,slopey,sit-start,,,Climb the blunt arête starting on a sloper and a sidepull. Watch the landing on the right side. This problem looks plausible until you try it.
Squamish,Simpleton,Grand Wall,Survivor,Impermanence,V0-,1,,,slabby,,,,Climb the left side of the short| slabby face.
Squamish,Impermanence,Grand Wall,Survivor,Impermanence,V3,2,Jack Fieldhouse,2001,technical,sit-start,,,Start seated with a low| smooth hold| reach onto the face for a crimper and then make a tough press-up onto the slab. Finish up the low-angle arête.
Squamish,Wheeler,Grand Wall,Survivor,Dealer,V0+,1,Jack Fieldhouse,2002,,,,,Climb the right side of the featured face starting with a smooth basalt shelf.
Squamish,Dealer,Grand Wall,Survivor,Dealer,V0+,5,Jack Fieldhouse,2001,,,,,Start seated using the lowest diagonal basalt edge just above the lip. Crank up the face using shelves and the arête to an exciting topout. Great stone| interesting moves and a flat landing. Get up here!
Squamish,Moss Toupee,Grand Wall,Survivor,Moss Toupee,V5,3,Tyrone Brett,2001,slopey,,,,Start standing using an edge on the slab and a sidepull on the steep face. Crank left to slopers and then mantel up the deceptively difficult blunt arête.
Squamish,Ketchup Soup,Grand Wall,Survivor,Moss Toupee,V1,2,Tyrone Brett,2001,crimpy,,,,Start on the left using high| sharp lip edges. Heel-hook on the slab to reach an edge and roll up.
Squamish,Whig Standard,Grand Wall,Survivor,Moss Toupee,V2,2,,,sit-start,,,,Start seated with a low left horn on the lip and a right heel-hook on the slab behind the tree. Roll onto the heel to reach a crimp and up.
Squamish,Signals,Grand Wall,Survivor,Signals,V2,3,Tyrone Brett,2000,slopey,sit-start,,,Start seated on a block matched in an arête scoop. Traverse left to the top of Launch Break.
Squamish,Launch Break,Grand Wall,Survivor,Signals,V4,4,Tyrone Brett,2001,powerful,sit-start,,,Start seated in a pit with a small left incut and a slopey right rail. Match rails moving right and then launch for a small edge high on the face.
Squamish,Non Problem,Grand Wall,Survivor,Non Problem,V3,1,Tyrone Brett,2001,sit-start,,,,Start with lip slopers left of the small dyke. Paste a heel and make a harsh move for the top.
Squamish,Foot and Mouth,Grand Wall,Survivor,Non Problem,V3,1,Tyrone Brett,2001,crimpy,powerful,,,Start footless using the lowest dyke edge and shoot for a small shelf. From here| traverse left on diagonal crimpers| staying below the lip. A tad awkward.
Squamish,Crampus,Grand Wall,Survivor,Non Problem,V2,2,Tyrone Brett,2001,crimpy,powerful,,,Start as for Foot and Mouth| but continue straight up| pulling over the lip.
Squamish,Student Union,Grand Wall,Survivor,Student Union,V0+,1,,,,,,,Climb the arête on the short face by trail. Start with your right hand pinching the arête and your left hand on the highest edge on the steep face
Squamish,Flake Work,Grand Wall,Survivor,Immunity Challenge,V1,1,,,dangerous,sit-start,,,Start seated on the right side of the wall matched in a detached flake. Move left up the featured face and then mantel the shelf. Finish up the highball face above| which will likely be dirty.
Squamish,This is Surreal,Grand Wall,Survivor,Immunity Challenge,V0,0,,,dangerous,,,,Fin an incut lip hold at 2 m. Grab this and flop onto the shelf. Finish up the highball face as before.
Squamish,Clam Shell,Grand Wall,Survivor,Immunity Challenge,V1,0,Tyler Jordan,1999,dangerous,sit-start,,,Start seated behind the tree with an incut for your left hand and a hole for your right. Shoot for a basalt hold at the lip and then roll onto the slab. Watch the drop-away landing as you gain height.
Squamish,Compression,Grand Wall,Survivor,Immunity Challenge,V3,1,,,dangerous,,,,Start matched on a positive low hold just left of the tree. Make a big throw to a sloper| grab the lip and mantel onto the slab left of the tree. Watch the drop-away landing behind you as you gain height.
Squamish,TD Plus,Grand Wall,Survivor,Immunity Challenge,V9,2,Tim Doyle & Tim Clifford,2009,crimpy,dangerous,,,Start about 2 m right of Immunity Challenge by reaching to tiny crimpers. Pull onto the face and climb directly up the wall.
Squamish,Immunity Challenge,Grand Wall,Survivor,Immunity Challenge,V7,4,Scott Tasaka,2000,crimpy,dangerous,,,Start in a pit matched on a big| flat hold. Be careful not to dab as you follow crimps up and right through the basalt to the lip. Muscle back left along the rail to better holds and a mantel by the slab.
Squamish,Immunity Challenge Direct,Grand Wall,Survivor,Immunity Challenge,V7,4,Tim Catcher,2010,crimpy,dangerous,,,A direct finish has also been climbed. An impressive line with a style that's rare in Squamish.
Squamish,Campus Living,Grand Wall,Survivor,Campus Living,V4,0,,,,,,,Start on incuts and campus to the lip.
Squamish,Around the Cornder,Grand Wall,Survivor,Around the Corner,V3,3,Israel Cruces,2003,sit-start,,,,Start seated using a small| bulbous sloper for your left hand and a good sidepull in the overhang for your right. Punch up to a good horn and the lip and then finish by moving off to the left
Squamish,The Imposter,Grand Wall,Survivor,Around the Corner,V7,1,Israel Cruces,2010,sit-start,,,,Start as for Around the Corner. Climb to the good horn| reach right to a sloping hold on the overhang's lip and then execute a tricky mantel above.
Squamish,Phatasstrophic,Grand Wall,Survivor,Around the Corner,V2,0,Jack Fieldhouse,2005,,,,,Start in a depression using a right arête hold and a left undercling. Work up the face to the lip and traverse right to finish on Horn Arête.
Squamish,Phatasstrophe,Grand Wall,Survivor,Around the Corner,V3,0,Jack Fieldhouse,2005,sit-start,,,,Start seated using crimps. Move slightly left| climb to the lip of Phatasstrophic and roll up.
Squamish,Phat Slab,Grand Wall,Survivor,Phat Slab,V5,5,Jack Fieldhouse,2002,slabby,technical             ,,,Climb the awesome| Font-like slab. Tread directly up the middle of the face and finish at the highest point of the boulder. Don't veer off to the right.
Squamish,Good One,Grand Wall,Survivor,Phat Slab,V2,3,Jack Fieldhouse,2002,sit-start,,,,Start matched on a fin in the overhang. Fire to the lip and then mantel with difficulty.
Squamish,Convex Face,Grand Wall,Survivor,Hunt's Arête,V8,3,Jeff Hunt,1999,powerful,,,,Start with a left-hand gaston and a right edge in the rock scar. Pull on and muscle to the lip with difficulty – it's tough to control the position.
Squamish,Hunt's Arête,Grand Wall,Survivor,Hunt's Arête,V8,4,Jeremy Smith,2002,slopey,sit-start,,,Start seated matched at the base of the arête. Climb leftward along the smooth| glacier-polished lip on slopers. Soft for the grade if you're tall.
Squamish,Big Red Dawg,Grand Wall,Survivor,Hunt's Arête,V4,3,Curtis Suave,2008,sit-start,,,,Start seated as for Hunt’s Arête. Make a move up the arête and then execute a bizarre perch move to crank onto the slab. Very strange positioning.
Squamish,Big Tree,Grand Wall,Survivor,Hunt's Arête,V2,1,Kevin Zanatta,2008,,,,,Start on a sloping rail and mantel.
Squamish,Mossimo,Grand Wall,Survivor,Hunt's Arête,V0,1,Curtis Suave,2008,,,,,Climb the slabby arête on the right.
Squamish,Extradition,Grand Wall,Survivor,Extradition,V1,1,,,,,,,Climb the trailside face starting on the right.
Squamish,Bridge of Pain,Grand Wall,Viper,Bridge of Pain,V3,1,,,sit-start,,,,Start seated using a dyke hold. Climb up and left on the arête with your back exposed to a boulder.
Squamish,Into the Bright,Grand Wall,Viper,Bridge of Pain,V3,1,Remy Larocque,2008,sit-start,,,,Climb out of a hole in the ground from a seated start. Dabby| but worth checking out.
Squamish,The Dentist,Grand Wall,Viper,Pulling Teeth,V0,2,Curtis Suave,2002,sit-start,,,,Start started matched on a jug below the left arête. Heelhook the arête and hit the top. Fun!
Squamish,Pulling Teeth Left,Grand Wall,Viper,Pulling Teeth,V3,3,,,sit-start,,,,Start this steep problem seated matched in finger slots. Crank out left and finish on the arête. Without good beta| this may feel as hard as the right variation.
Squamish,Pulling Teeth Right,Grand Wall,Viper,Pulling Teeth,V4,3,Tim Doyle,1996,sit-start,,,,"Same start| but crank straight back on crimps and exit right. ""Teeth"" is a reference to a hold."
Squamish,Feature Creature,Grand Wall,Viper,Pulling Teeth,V2,2,Jack Fieldhouse,1998,sit-start,,,,Start under the boulder matched on a good edge. Move up and left over the lip on crimps.
Squamish,Excavator,Grand Wall,Viper,Pulling Teeth,V4,3,Chris Hecimovic,1999,slopey,sit-start,,,Start seated matched in an undercling with poor foot smears. Slap right to slopers| grasp the slopey corner and grapple over top. Scrunchy start.
Squamish,Anatomy Lesson,Grand Wall,Viper,Pulling Teeth,V3,4,Chris Hecimovic,1997,slopey,sit-start,,,Start seated with your right hand cupping or pinching the arête and your left on a lower sloper. A classic lowball with intricate moves on slopers.
Squamish,University Crawl,Grand Wall,Viper,Pulling Teeth,V7,2,Tyler Jordan,1998,sit-start,,,,Start this low traverse with the right-most dyke holds. Fire left to a sloping edge in the overhang| match| move to another edge and exit onto the slab.
Squamish,University Brawl,Grand Wall,Viper,Pulling Teeth,V7,1,Trent Hoover,2005,slopey,sit-start,,,Start as for University Crawl| but battle straight up onto the bulging slab after the first move.
Squamish,Squamish Days Traverse,Grand Wall,Viper,Squamish Days,V1,3,,,sit-start,,,,Start seated matched on the sloping shelf just right of the Squamish Days jug. Work rightward across the face on positive holds. Starting matched on the lowest sloping shelf bumps the grade to a stout V4.
Squamish,Squamish Days,Grand Wall,Viper,Squamish Days,V0,4,,,,,,,"Start crouching on the left side of the face matched in a very positive jug. Climb straight up| finishing just right of the arête. A great warm-up! ""Squamish Days"" is the name of the town's annual summer festival."
Squamish,Broken Nose,Grand Wall,Viper,Squamish Days,V2,1,Jack Fieldhouse,1999,sit-start,,,,Start seated using edge holds just below the left-hand prow. Slap left to sloper| right to the arête and up. Quite awkward to start.
Squamish,Carpenter Ants,Grand Wall,Viper,Fried Ant,V1,3,Ryan Davy,2010,sit-start,,,,Start seated matched on two fat holds above the lip. Climb upward using a variety of nice features.
Squamish,Queen Mother,Grand Wall,Viper,Fried Ant,V5,1,Shelley Hoover,2001,sit-start,,,,Start seated using a sidepull for your right hand and a high crimp slot for your left. Pull on with difficulty| move quickly to the right arête and up.
Squamish,Da Dant (aka Escapism),Grand Wall,Viper,Fried Ant,VH,1,Tim Doyle,2008,crimpy,sit-start,,,Start seated using a very small sidepull for your right hand and a tiny crimp for your left. Pull on and thrutch for the top.
Squamish,Ode to the Choad,Grand Wall,Viper,Fried Ant,V3,2,,,,,,,Start using low crimps and pop to a better hold. A onemove-wonder| but a fun one
Squamish,Fried Ant,Grand Wall,Viper,Fried Ant,V0+,4,Peter Michaux,1996,,,,,Start this classic moderate low and left on good holds. Climb up and right to an amazing hold at the top. One of the best of the grade in Squamish.
Squamish,Squamish Nights,Grand Wall,Viper,Fried Ant,V3,2,Jack Fieldhouse,2000,,,,,Start as for Fried Ant| but climb directly above following holds alongside the left arête.
Squamish,Drone,Grand Wall,Viper,Fried Ant,V4,3,Trent Hoover,2001,slopey,,,,Start around the left arête using a weathered| positive basalt edge. Traverse into the start of Fried Ant| move up that problem to a good shelf and then make a big reach out right to the lip holds on Ode to the Choad. Mantel out as for that problem.
Squamish,Ant Slab,Grand Wall,Viper,Fried Ant,V0,1,,,slabby,,,,Climb the slabby face on the backside of the boulder. Harder options are possible to the right.
Squamish,Mad Crap,Grand Wall,Viper,Mad Crap,V1,2,Matt Maddaloni,1996,,,,,Start on a small rail. Heel-hook on a fin up and right and continue to the top. Fun moves!
Squamish,DNF,Grand Wall,Viper,DNF,V0,2,,,sit-start,,,,Start seated matched on a fat jug rail and climb the short face by the trail.
Squamish,Are You American?,Grand Wall,Viper,Are You American?,V2,1,Jack Fieldhouse,2005,,,,,Begin in the alcove matched on a flat rail. Move up and right being mindful of the block behind you| which is difficult not to dab.
Squamish,Are You Canadian?,Grand Wall,Viper,Are You Canadian?,V0,1,,,,,,,Start crouching with your right hand on a nice basalt edge and your left on a tiny basalt cookie. Shoot left to a fat pinch and then up to the peak.
Squamish,American Gigolo,Grand Wall,Viper,Vince Pinch,V3,4,Tim Doyle,1996,sit-start,,,,Start seated cupping the arête with both hands or by using the arête and a poor hold on the right. Slap to a good edge| a sidepull left of the arête and then up to a tricky mantel. Fun with a cruxy start!
Squamish,Acetone,Grand Wall,Viper,Vince Pinch,V6,2,Tim Doyle,2009,crimpy,sit-start,,,Start seated left of American Gigolo. Grab the arête with your right hand and a crimp with your left. Move up and left to a lunge crux at the very top.
Squamish,Doubt,Grand Wall,Viper,Vince Pinch,V5,5,Tim Doyle,2009,technical,,,,Start matched on a sharp jug flake and climb the balancey right side of the arête. A beautiful| technical line with an engaging finish. Extra pads help.
Squamish,Vince Pinch,Grand Wall,Viper,Vince Pinch,VH,4,Vince Chung,2002,powerful,,,,"Start with a low| flexing edge for your left hand and a miserable feature on the right arête. Use a toe- or heelhook to snatch a left crimp and then pop to a sloper. The original line finished up the left side of the arête| but a broken hold has made it harder – finishing up Doubt is more aesthetic. Formerly V13| the famous ""pinch"" hold snapped off the arête leaving nothing useful in its place. The line has only seen one known ascent (Tim Doyle| 2021) since that break."
Squamish,Pid,Grand Wall,Viper,Vince Pinch,V1,2,Jack Fieldhouse,1998,slabby,,,,Finesse the steep slab right of the offset. The initial ledge is not an ideal landing situation.
Squamish,Left Rib,Grand Wall,Viper,Vince Pinch,V2,4,,,technical,slabby,,,Climb the technical slab left of the offset by slapping up the feature with your right hand.
Squamish,Ten Miles Back,Grand Wall,Viper,Vince Pinch,V4,2,,,sit-start,,,,Start seated with your left hand on a small crimp and your right on a sloping sidepull. Gun for the shelf. Good holds above a flat landing.
Squamish,Ben's Traverse,Grand Wall,Viper,Ben's Traverse,V7,2,Ben Harnden,2006,slopey,,,,Start compressing a right arête hold and a blocky feature on the wall to the left. Move leftward along the rising lip into Dropping a Pearl.
Squamish,Dropping a Pearl,Grand Wall,Viper,Ben's Traverse,V0+,1,Doug McGhee,1996,,,,,Reach high in the dyke to crimpers| which are just under the lip on the overhanging face. Top out over a high| bad landing. Nice stone.
Squamish,Let the Pearl Slip,Grand Wall,Viper,Ben's Traverse,V0+,1,Doug McGhee,1996,,,,,Start on the uphill nose of the boulder opposite Viper and traverse right into Dropping A Pearl.
Squamish,Mongoose,Grand Wall,Viper,Viper,V2,1,Chris Hecimovic,1996,,,,,Climb the sharp left arête on the Viper boulder. Fun moves| but a rough landing.
Squamish,Coffee Girl,Grand Wall,Viper,Viper,V7,1,Mike Jessup,1999,dynamic,,,,Start using edges on the Dead Sea to Israelia traverse. Dyno or mantel to gain the top.
Squamish,Dead Sea to Israelia,Grand Wall,Viper,Viper,V10,4,Vince Chung,2002,slopey,,,,Start on the left arête. Move right along the very slopey upper rail| finishing beside Viper
Squamish,The Asp,Grand Wall,Viper,Viper,V6,2,Andrew Boyd,1998,,,,,Start as for Viper| but climb directly up the wall above instead of heading right up the fin. This involves some crazy pressing or lock-off shenanigans.
Squamish,Viper,Grand Wall,Viper,Viper,V5,5,Peter Michaux & Stu Worrall,1996,technical,,,,"This Squamish classic climbs the insecure| snake-like fin of rock up the overhanging face. Start with hands on the fin at mid-height. The name is a reference to the first ascensionist ""snaking"" the problem from the climber who had prepared the line."
Squamish,Viper Low,Grand Wall,Viper,Viper,V11,2,,,powerful,technical             ,,,Start with the ball-shaped feature that you smear on when climbing the stand-up version. A couple of heinous moves lead into the standard line.
Squamish,Hmmm,Grand Wall,Viper,Did I Do That?,V4,2,Jack Fieldhouse,2001,,,,,Start on a high sloper and edge on the right side of the face. Place your foot on a good left edge| fire for a left sidepull and top out above.
Squamish,Did I Do That?,Grand Wall,Viper,Did I Do That?,V4,2,Jack Fieldhouse,2001,,,,,Start bear-hugging a left undercling and right arête catch. Paste your feet and pull.
Squamish,Bonjour les Filles,Grand Wall,Viper,Poutine Cave,V1,0,Shannon Price,1999,,,,,Start right of the prow| drop down and traverse the low lip way to the left. Finish on jugs.
Squamish,Poutine Cave,Grand Wall,Viper,Poutine Cave,V2,3,Tim Doyle,2003,powerful,sit-start,,,Descend into the alcove and start matched on a mid-cave pinch. Pop to the big hold above and scramble to the top. A short| gym-like power problem.
Squamish,White Bread,Grand Wall,Viper,White Bread,V1,4,Mike Orr,1999,,,,,Start with a good sidepull on the arête. Move up left to a beautiful loaf-shaped hold and mantel. One of the best warm-ups in the area.
Squamish,White Bread Low,Grand Wall,Viper,White Bread,V6,3,Mike Orr,1999,crimpy,sit-start,,,"Start seated using a dyke crimp for your right hand and any number of tiny features for your left. Crank hard to a left-hand sidepull| move to a sloper and then join White Bread at the ""loaf"" hold. Tough start"
Squamish,First Steps,Grand Wall,Viper,White Bread,V0,1,Annie Tasaka,1999,slabby,,,,Match the good ledge on the back of the White Bread boulder and high-step.
Squamish,Fraggle Rock Dyno,Grand Wall,Viper,Hand It Over,V2,1,Curtis Suave,2004,sit-start,,,,Start seated crimping two dyke edges. Make a big move to the lip and finish up and left.
Squamish,Hand It Over,Grand Wall,Viper,Hand It Over,V1,3,Curtis Suave,2004,sit-start,,,,Start seated using positive| blocky holds. Hit the shelf and then move into a fun| exit mantel.
Squamish,Get Your Dog Off My Leg,Grand Wall,Viper,Piledriver,V5,3,Tyrone Brett,1997,,,,,Climb the short arête right of the scoop. Start with a low| left undercling and a right arête hold.
Squamish,Piledriver,Grand Wall,Viper,Piledriver,V8,1,Scott Tasaka,1999,slopey,,,,Start on juggy lip holds on the left corner of the face. Traverse right using gnarly slopers and heel-hooks to reach a positive feature. Finish by moving around the corner to the right. Falling off is jarring.
Squamish,Piledriver Low,Grand Wall,Viper,Piledriver,V9,1,Tristan Salson,2019,slopey,sit-start,,,Piledriver Low starts seated.
Squamish,Impact,Grand Wall,Viper,Piledriver,V4,1,,,,,,,Start matched on a low arête hold on the northeast corner of the boulder. Traverse the low shelf rightward and mantel out at the start of Piledriver.
Squamish,Construction,Grand Wall,Viper,Piledriver,V0,1,,,,,,,Climb the slabby dyke on the uphill side of the boulder. Cool stone – a good novice problem.
Squamish,Beachcomber,Grand Wall,Viper,Beachcomber,V1,2,Pam Bourdon,1999,sit-start,,,,Start seated with your left hand on a very small sidepull and your right on an arête pinch under the roof. Move right around the prow before topping out.
Squamish,Beached Whale,Grand Wall,Viper,Beachcomber,V2,2,Pam Bourdon,1999,sit-start,,,,A variation to Beachcomber| Beached Whale mantels out above the starting holds using an oh-so-elegant belly scum.
Squamish,Basking Shark,Grand Wall,Viper,Beachcomber,V1,1,,,sit-start,,,,Start seated matched on the rail. Finish above.
Squamish,Dances with Cats,Grand Wall,Viper,Dances with Cats,V1,1,Pam Bourdon,1999,,,,,Start using holds on the slanted shelf feature left of the tree. Interesting holds follow. Meow
Squamish,Old and Serious,Grand Wall,Viper,Old and Serious,V3,4,Jack Fieldhouse,1999,slabby,,,,Start in a diagonal undercling and trend up and left to finish on the high slab. This former Top 100 problem has been down-rated due to the altered landing situation created by the 2021 rockfall. This event completely blocked the start of the problem to the left| Young and Furious (V3)| the loss of which is a real pity.
Squamish,Barn-door| Eh?,Grand Wall,Viper,Barn-door| Eh?,V6,3,Adam Markert,2002,technical,,,,Reach to a high| right sidepull to start. Pull on and crank up the rib to a good edge and then the top of the boulder. Technical and balancey. Good fun!
Squamish,Ragged Andy,Grand Wall,Viper,Barn-door| Eh?,V1,2,Tim Crawshaw,1999,,,,,Climb the dyke arête out of a small cave. Start low on positive edges.
Squamish,Deception,Grand Wall,Viper,Deception,V2,1,Scott Tasaka,1999,sit-start,,,,Start with a cool| protruding tooth-shaped hold. Move left to top out. Can you say lowball?
Squamish,The Big Trio,Grand Wall,Viper,Towelie,V3,0,Scott Tasaka,2000,,,,,Start in the corridor on the right side of the face with any holds above the lip. Through a left heel up and then crank up and right to finish.
Squamish,Under the Tree,Grand Wall,Viper,Towelie,V3,0,Scott Tasaka,2000,,,,,Start with holds on the large| protruding shelf feature and a left heel-hook. Make a rising traverse to the right finishing alongside The Big Trio.
Squamish,Towelie,Grand Wall,Viper,Towelie,V5,3,Tim Doyle,2004,dynamic,dangerous,,,Jump start to holds on the lip of the steep face. Manoeuver onto the wall above and follow the swooping arête to the top. A striking high-ish line.
Squamish,Stairway to Devin,Grand Wall,Viper,Towelie,V3,0,Devin Card,1999,crimpy,dangerous,,,Step onto the small boulder and reach to a good righthand sidepull to start. A nice ladder of edges leads upward to a high finish. No one bothers...
Squamish,Minion,Grand Wall,Viper,Minion,V4,3,Jack Fieldhouse,1999,slopey,,,,Start matched on a low rail. Work leftward along slopers in a rising traverse along the lip. Good| technical lip work – classic Squamish bouldering.
Squamish,Minion Direct,Grand Wall,Viper,Minion,V5,3,,,powerful,,,,Start with two opposing holds in the steep overhang. Pull onto the wall with great difficulty and make a tough move to a hold up and right. Climb directly into the upper rail finish of Minion.
Squamish,Snagglepuss,Grand Wall,Viper,Pagan Fears,V5,1,Jack Fieldhouse,1999,,,,,Start with your right hand in a diagonal undercling just below the lip and your left on an opposing face hold. Wrestle onto the smooth slab.
Squamish,Pagan Fears,Grand Wall,Viper,Pagan Fears,V5,1,Chris Hecimovic,1999,sit-start,,,,Start seated on the left side of the overhanging face using a big| bulging sidepull for your left hand and a sloping edge for your right. Work onto the smooth slab above| which is harder than it looks.
Squamish,Flann Left for Breakfast at Tiffany's,Grand Wall,Black Dyke,Breakfast at Tiffany's,V8,3,Flannery Shay-Nemirow,2012,powerful,,,,Start using a high| diagonal crimp (A) and a small chip (B). Move to the lip then follow it rightward into Breakfast at Tiffany's. Trickier than it first appears. Don't fall off the final crux!
Squamish,Bend It,Grand Wall,Black Dyke,Breakfast at Tiffany's,V3,2,Israel Cruces,2006,,,,,Start using the inverted V-shaped hold (C) and the high| diagonal crimp in the vague dihedral (A). Hit the lip and rail left to a tough mantel.
Squamish,Breakfast at Tiffany's,Grand Wall,Black Dyke,Breakfast at Tiffany's,V7,4,Israel Cruces,2006,powerful,,,,Start with the inverted V-shaped hold (C) and a sloping sidepull (D). Pull on and battle up and right to a surprising sting-in-the-tail finish.
Squamish,Breakfast at Tiffany's Low,Grand Wall,Black Dyke,Breakfast at Tiffany's,V10,2,Tim Clifford,2009,powerful,,,,Start on a right pinch crimp and a left gaston and climb into the original problem.
Squamish,Adam's Crack,Grand Wall,Black Dyke,Breakaway,V0,0,Adam Diamond,1996,,,,,Follow the crack on the right.
Squamish,Breakaway,Grand Wall,Black Dyke,Breakaway,V3,3,Peter Michaux,1996,technical,slabby,,,Climb the steep| central face without using the crack. Very good and very tricky.
Squamish,Fathers of Sound,Grand Wall,Black Dyke,Breakaway,V0,1,,,slabby,,,,Climb along the left edge of the boulder.
Squamish,Easy Peezy,Grand Wall,Black Dyke,Black Dyke,V0,2,Curtis Suave,2003,,,,,An enjoyable| easy face climb.
Squamish,Torqued Toque,Grand Wall,Black Dyke,Black Dyke,V1,2,Matt Maddaloni,1996,dangerous,,,,Weave up the wall right of the arête. There is one committing move at the very top.
Squamish,Spider in the Corner,Grand Wall,Black Dyke,Black Dyke,V3,2,Dan Gable,2006,dangerous,sit-start,,,Start using small crimps and footholds in the overhang. Surmount the bulge and quest upward.
Squamish,Tea Bag Undies,Grand Wall,Black Dyke,Black Dyke,V4,4,Andrew Boyd & Stu Worrall,1996,dangerous,sit-start,,,Start this burly one-move-wonder seated| matched on a sloping pinch block. Fire to an edge| roll onto the slab and finish up the highball face above. A problem of contrasting halves.
Squamish,Topless,Grand Wall,Black Dyke,Black Dyke,V3,2,Jack Fieldhouse,1998,dangerous,sit-start,,,Start seated matched on a sloping shelf left of the Tea Bag pinch block and boulder up left into a small corner feature. Jump down or quest onward for the summit| if you dare (first topped by Dan Gable in 2006).
Squamish,Foot Tease,Grand Wall,Black Dyke,Black Dyke,V2,3,Tyrone Brett,1997,dangerous,sit-start,,,Start seated using a jug. Climb directly to the lip and finish right on slopey edges.
Squamish,Bob Barker Cut My Dog's Nuts Off,Grand Wall,Black Dyke,Black Dyke,V1,3,Stu Worrall,1996,dangerous,,,,Start on the same jug as Foot Tease| but climb up and left along wonderful jugs. Fun
Squamish,The Man,Grand Wall,Black Dyke,Black Dyke,V3,4,Tim Doyle,1998,dangerous,sit-start,,,Start seated with a left crimp and a right gaston. Climb up to a dyke hold and traverse left on granite edges to finish on Super Daddy Long Limbs.
Squamish,Big Man,Grand Wall,Black Dyke,Black Dyke,V2,2,Stu Worrall,1996,dangerous,sit-start,,,Start as for The Man| but finish directly up the groove instead of traversing left.
Squamish,When Harry Met Sally,Grand Wall,Black Dyke,Black Dyke,VH,2,Harry Robertson,2003,crimpy,sit-start,,,Start on two low crimps. Boulder left the the overhang to gain Super Daddy Long Limbs and finish on that problem. Initially V12| reclimbed post-break at V13 (by Simon Parton in 2013) and now likely unclimbable after yet another break. Two variations to the original problem (links with Super Daddy Long Limbs and The Man| both by Tim Clifford) have not been repeated since the breaks and are likely no longer possible
Squamish,Super Daddy Long Limbs,Grand Wall,Black Dyke,Black Dyke,V6,4,Stu Worrall,1996,sit-start,,,,Start seated matched on the smooth shelf. Boulder through the hueco to a slopey lip. Move right until it's possible to reach a flat hold and mantel out| which is a tad frightening. Pad the landing well.
Squamish,Super Daddy Long Limbs Direct,Grand Wall,Black Dyke,Black Dyke,V8,3,,,slopey,sit-start,,,Climb Super Daddy Long Limbs| but finish directly above the hueco| just right of the Sloppy Poppy topout. A classic Squamish sloper topout.
Squamish,Sloppy Poppy,Grand Wall,Black Dyke,Black Dyke,V4,5,Stu Worrall,1996,sit-start,,,,Start seated using a low| square-cut edge. Go straight up and top out on slopers. Watch the landing! Many ankles have been rolled here due to poor pad placement. Named for an infamous Seinfeld character.
Squamish,Sloppy Poppy Traverse,Grand Wall,Black Dyke,Black Dyke,V5,3,,,,,,,Start as for Sloppy Poppy. Move up and then traverse right through the amazing hueco to finish on Super Daddy Long Limbs with its cruxy mantel.
Squamish,Slippery Poppy,Grand Wall,Black Dyke,Black Dyke,V2,2,,,sit-start,,,,Start as for Sloppy Poppy| but traverse left to the arête and roll around left to finish above the big tree. Not a bad warm-up for the lines to the right.
Squamish,Roller Coaster,Grand Wall,Black Dyke,Black Dyke,V9,4,Israel Cruces,2005,slopey,pumpy,sit-start,,Start as for Tea Bag and traverse the entire face leftward keeping your feet under the lip the entire way. Finish with the Sloppy Poppy mantel. If you like power-endurance traverses| this is a good one.
Squamish,Pain is a Four-letter Word,Grand Wall,Black Dyke,Black Dyke,V5,1,Stu Worrall,1996,,,,,Traverse the lip of the west face of the boulder. Start on the right using positive holds and move left to finish in the scoop right of Summer Vacation.
Squamish,Hamstring Dyno,Grand Wall,Black Dyke,Black Dyke,V5,2,,,dynamic,,,,Start matched in a small flake slot about 0.5 m right of the slanting boulder. Toss up and right to the closest lip hold and finish on Hamstring Traverse.
Squamish,Manitoba Man Habits,Grand Wall,Black Dyke,Black Dyke,V5,1,Che Edwards,2005,dynamic,,,,Do Hamstring Dyno and then traverse edges across the face into Summer Vacation and up.
Squamish,Sloppy Manitoban,Grand Wall,Black Dyke,Black Dyke,V9,1,Andrew Boyd,2005,dynamic,,,,Climb Manitoba Man Habits. At the Summer Vacation junction| continue leftward around the entire boulder to finish as for Roller Coaster. Best to do this one with a padcarrying spotter on a quiet day
Squamish,Anne of Green Gable,Grand Wall,Black Dyke,Black Dyke,V5,3,Jim Sandford,2002,crimpy,sit-start,,,Sit on the slanting boulder right of the dyke and grab a fat| chalky shelf with both hands. Make a massive reach to a tiny crimp and continue straight up.
Squamish,Summer Vacation,Grand Wall,Black Dyke,Black Dyke,V0,4,Gord Ross,1992,dangerous,,,,Stand on a boulder and reach to jugs. Climb up and left using more jugs before heading straight up. This excellent warm-up is also known as High V0.
Squamish,Connector,Grand Wall,Black Dyke,Black Dyke,V3,1,,,crimpy,,,,Start on the same jug holds as Summer Vacation| but immediately move right across the face on little crimpers to finish on Hamstring Traverse.
